,month,obs,sim,scaling_factor
1,1,-749249999.9,0.348787097,-2148158596
2,2,-749249999.8,0.175835694,-4261080231
3,3,-749249999.6,1.135374194,-659914593.7
4,4,-749249999,1.67602,-447041204.1
5,5,-749249997.9,5.036812903,-148754780.5
6,6,-749249997.3,14.33878,-52253399.34
7,7,-749249997.2,16.66681935,-44954587.99
8,8,-749249997.7,22.06181935,-33961387.57
9,9,-749249997.6,20.82122667,-35984911.43
10,10,-749249998.6,4.939458065,-151686680.8
11,11,-749249999.9,1.59356,-470173699
12,12,-749250000,0.563522581,-1329582923
