,month,obs,sim,scaling_factor
1,1,0.235020927,0.465601434,0.504768477
2,2,0.645969691,0.034852062,18.53461916
3,3,1.683508945,1.530464516,1.099998679
4,4,4.086658528,2.453951111,1.665338201
5,5,8.581084491,6.881241577,1.247025612
6,6,10.61840489,15.20217926,0.698479127
7,7,11.04483835,16.04136631,0.688522296
8,8,9.305142537,19.80067814,0.469940599
9,9,9.788223615,16.21557481,0.603630998
10,10,5.561539712,2.995466667,1.856652179
11,11,0.587165341,1.828865185,0.321054469
12,12,0.081121024,0.100764158,0.805058329
