,month,obs,sim,scaling_factor
1,1,0.235020927,0.494997235,0.474792403
2,2,0.645969691,0.018500607,34.91613486
3,3,1.683508945,1.040226728,1.618405776
4,4,4.086658528,1.897068571,2.154196527
5,5,8.581084491,5.581083871,1.537530109
6,6,10.61840489,13.28642286,0.799192153
7,7,11.04483835,14.16829677,0.779545949
8,8,9.305142537,17.95050507,0.518377756
9,9,9.788223615,15.36161143,0.637187294
10,10,5.561539712,2.620584332,2.122251761
11,11,0.587165341,1.597093333,0.367646229
12,12,0.081121024,0.009047005,8.966616897
