Year,Month,Day,P28,P30,P46,P48,P62,P64,P91,P92,P93,P104,P105,P107,sp_avrg,Barisal,Mongla,Khepupara,Patuakhali,obs,Bias_corrected,RMSE,MAE,PBIAS,,,,,
1990,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14465,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29575,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6695,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251566,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686627,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806893,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,22,19.32,18.96,20.75,18.83,22.04,19.4,21.47,21.22,18.78,20.18,21.54,0,18.54083333,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12032,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236813,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9296,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3407,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8343,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38834,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6789,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5326,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4.717,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,7,6.9,5.71,8.58,0.45,9.68,5.93,8.73,9.23,3.61,10.11,12.16,0,6.7575,7.23147,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,8,6.52,6.83,5.35,0,3.47,0,0,0,0,0,0.64,0,1.900833333,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,9,7.45,13.06,11,14.74,11.06,14.84,2.63,7.21,13.08,4.63,11.48,0,9.265,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,10,11.31,12.79,11.42,11.02,10.36,9.9,0.91,0.22,0,0,0,0,5.660833333,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,11,8.92,9.93,8.14,8.29,5.94,4.37,0,0,0,0,0,0,3.799166667,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60682,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3025,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0396,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7482,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452345,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
