,month,obs,sim,scaling_factor
1,1,-9.99E+08,0.356158065,-2.80E+09
2,2,-9.99E+08,0.177122285,-5.64E+09
3,3,-9.99E+08,1.059483871,-9.43E+08
4,4,-9.99E+08,1.775785556,-5.63E+08
5,5,-9.99E+08,3.554241935,-2.81E+08
6,6,-9.99E+08,12.61509333,-7.92E+07
7,7,-9.99E+08,14.29001828,-6.99E+07
8,8,-9.99E+08,14.56474946,-6.86E+07
9,9,-9.99E+08,15.79953222,-6.32E+07
10,10,-9.99E+08,5.391039785,-1.85E+08
11,11,-9.99E+08,1.645732222,-6.07E+08
12,12,-9.99E+08,0.271596774,-3.68E+09
