,month,obs,sim,scaling_factor
1,1,0.235020927,0.378425806,0.621048889
2,2,0.645969691,0.023506677,27.4802635
3,3,1.683508945,0.492641475,3.417310624
4,4,4.086658528,0.926504762,4.410833809
5,5,8.581084491,3.003579724,2.856952464
6,6,10.61840489,9.456531429,1.122864654
7,7,11.04483835,11.8205235,0.934378105
8,8,9.305142537,15.76755207,0.590145033
9,9,9.788223615,14.39048,0.680187431
10,10,5.561539712,2.83883871,1.959089713
11,11,0.587165341,1.366973333,0.429536793
12,12,0.081121024,0.022818433,3.555065491
