,month,obs,sim,scaling_factor
1,1,0.235020927,0.53182509,0.441913951
2,2,0.645969691,0.047700661,13.54215386
3,3,1.683508945,0.977081004,1.722998338
4,4,4.086658528,1.748804444,2.336829907
5,5,8.581084491,5.322144803,1.61233578
6,6,10.61840489,13.36572593,0.794450294
7,7,11.04483835,13.88534337,0.795431417
8,8,9.305142537,17.64594695,0.527324635
9,9,9.788223615,15.24359407,0.642120458
10,10,5.561539712,2.789489606,1.99374814
11,11,0.587165341,1.520573333,0.386147336
12,12,0.081121024,0.008088889,10.02869807
