,month,obs,sim,scaling_factor
1,1,-499499999.9,0.372091756,-1342410821
2,2,-499499999.7,0.116521089,-4286777644
3,3,-499499999.2,1.120724014,-445694027.1
4,4,-499499998,1.790292593,-279004672.2
5,5,-499499995.7,5.010216487,-99696289.96
6,6,-499499994.7,14.10245037,-35419376.18
7,7,-499499994.5,17.11046237,-29192664.92
8,8,-499499995.3,22.08157061,-22620673.33
9,9,-499499995.1,20.48934222,-24378527.61
10,10,-499499997.2,4.930154122,-101315290.5
11,11,-499499999.7,1.613452593,-309584553
12,12,-499500000,0.526610036,-948519712.8
